dataset_id,dataset_name,dataset_family,physical_mechanism,commercial_relevance,target_outcomes,authoritative_source,source_url,historical_coverage,update_frequency,spatial_granularity,temporal_granularity,pit_timestamp_available,pit_safe_status,join_keys,licence_access,estimated_storage_mb,acquisition_effort_hours,validation_effort_hours,expected_information_gain,expected_commercial_impact,current_coverage,blocker,priority_score,recommended_action,notes
AUS_CAL_MONTH,Month and Quarter,Calendar,Structural calendar feature,Medium,demand patterns seasonality,interconnector flows,Derived from observation_timestamp,Local,2010-present,Continuous,National,Monthly,Yes,SAFE,observation_date,Public,0,0,0.5,Medium,High,None,None,9.8,INCLUDE_NOW,Fully deterministic; compute from observation_timestamp
AUS_CAL_DST,Daylight Saving Transitions,Calendar,DST boundary event,Medium,demand patterns discontinuities,bidding strategy,Australian Department of Infrastructure,State government websites,1971-present,Annual,State,Hourly,Yes,SAFE,observation_timestamp,Public,0.5,1,0.5,Medium,High,None,None,8.5,INCLUDE_NOW,State-specific; NSW VIC SA TAS apply; QLD doesn't observe DST
AUS_CAL_FY,Financial Year (FY1),Calendar,Structural accounting period,Low,SRA payout period,reporting period alignment,Derived from observation_timestamp,Local,2010-present,Continuous,National,Quarterly,Yes,SAFE,observation_date,Public,0,0,0.5,Low,Medium,None,None,7.0,INCLUDE_AFTER,FY1 (Jul-Jun) aligns with SRA payout structure; useful for post-hoc analysis
AEMO_FCAS_PRICES,FCAS Causer-Pays Prices,FCAS,FCAS pricing directly influences bidding,Critical,bid strategy interconnector flows,SRA payout timing,NEMWEB AEMO,https://www.nemweb.com.au/,2015-02-present,Continuous,National (service-type level),5-minute,Yes,SAFE,interval_timestamp service_type service_class,Public,50,4,3,High,Critical,None,Table schema varies across MMSDM versions,8.8,INCLUDE_NOW,FCAS prices are critical driver of bidding strategy and SRA payouts
AEMO_FCAS_AVAILABILITY,FCAS Enablement by DUID,FCAS,FCAS availability constrains service supply,High,supply constraints availability,interconnector flows SRA payout,NEMWEB AEMO,https://www.nemweb.com.au/,2019-present,Continuous,Per DUID,5-minute,Yes,CONDITIONAL,interval_timestamp duid service_type,Public,30,4,3,High,Critical,Partial,Pre-2019 data requires bid reconstruction,8.5,INCLUDE_AFTER,FCAS capability by unit; enables supply-side constraints
AEMO_FCAS_RESERVE,FCAS Reserve Conditions (LOR),FCAS,LOR events indicate scarcity,Medium,reserve conditions supply stress,SRA payout probability,AEMO reports,https://www.aemo.com.au/operational-toolbox/system-operation,2006-present,Event-based,NEM-wide,Hourly,No,UNSAFE,event_date region,Public,2,3,2,Medium,High,Sparse,Data is semi-structured (PDF reports),6.5,INCLUDE_AFTER,Rare events but high impact; requires OCR or manual curation
AEMO_UNIT_SCADA,Unit-Level SCADA Output,Generator,Real output vs availability explains congestion,Critical,availability ratios outage effects,interconnector flows SRA payout,NEMWEB AEMO,https://www.nemweb.com.au/,2010-present,Continuous,Per DUID,5-minute,Yes,SAFE,interval_timestamp duid region,Public,120,2,2,High,Critical,Partial (in historical FS),UNIT_SCADA already partially ingested,9.2,INCLUDE_IMMEDIATELY,Core data already in feature store; extend and validate
AEMO_PASA_AVAILABILITY,PASA Maximum Availability,Generator,Day-ahead capacity limits,High,capacity constraints availability,interconnector flows SRA payout,NEMWEB AEMO,https://www.nemweb.com.au/,2010-present,Daily,Per DUID,30-minute forecast,Yes,SAFE,forecast_date duid,Public,40,3,2,High,High,None,PASA archive incomplete for older DUIDs,7.8,INCLUDE_NOW,Explains short-term capacity constraints
AEMO_OUTAGE_SCHEDULE,Planned Generation Outages,Generator,Planned outages reduce available capacity,High,forced-outage proxies availability,interconnector flows SRA payout,AEMO Outage Schedule,https://www.aemo.com.au/,2005-present,Event-based,Per DUID,Event-level,Yes,SAFE,outage_start_date duid,Public,5,3,1,Medium,High,Sparse,Semi-structured (emails PDFs manual records),5.5,INCLUDE_AFTER,High-impact events but requires manual curation
AEMO_GENERATOR_REGISTRATION,Generator Registration (Fuel Type),Generator,Fuel-type mapping for aggregation,Critical,generation mix by fuel,SRA fair-value estimation,NEMWEB AEMO,https://www.aemo.com.au/,1995-present,Updated continuously,Per DUID,Static,Yes,SAFE,duid,Public,2,1,0.5,High,Critical,None,None,9.5,INCLUDE_NOW,Essential for generation-mix aggregation
AEMO_UIGF,Unit Initial Generation Forecast,Generator,Forecast availability 40h ahead,Medium,supply availability forecasts,interconnector forecasting,NEMWEB AEMO,https://www.nemweb.com.au/,2015-present,Continuous,Per DUID,5-minute forecast,Yes,CONDITIONAL,forecast_datetime duid,Public,100,4,3,Medium,High,None,Requires forward-looking joins; complex schema,7.0,INCLUDE_AFTER,Useful for interconnector forecasting; defer until Priority 1 complete
AEMO_DISPATCHCONSTRAINT,Dispatch Constraint Marginal Values,Constraint,Constraint binding directly explains congestion,Critical,constraint binding frequency,congestion explanation interconnector flows SRA payout,NEMWEB AEMO,https://www.nemweb.com.au/,2010-present,Continuous,Per constraint_id,5-minute,Yes,SAFE,interval_timestamp constraint_id,Public,200,4,3,Critical,Critical,None,~10000 unique constraint IDs; complex schema,9.5,INCLUDE_IMMEDIATELY,Constraints ARE the congestion mechanism; essential for SRA fair value
AEMO_GENCONDATA,Generic Constraint Definitions,Constraint,Constraint definitions map constraint_id to English,High,constraint interpretation,congestion explanation,NEMWEB AEMO,https://www.nemweb.com.au/,2005-present,Updated continuously,Per constraint_id,Static,Yes,SAFE,constraint_id,Public,3,2,1,Medium,High,None,None,8.5,INCLUDE_IMMEDIATELY,Enables interpretation of constraint bindings
AEMO_DISPATCHLOAD,Actual Demand by Region,Demand,Actual load is supply/demand balance half,Critical,demand patterns supply balance,interconnector flows SRA payout,NEMWEB AEMO,https://www.nemweb.com.au/,2010-present,Continuous,Per region,5-minute,Yes,SAFE,interval_timestamp region,Public,30,1,1,High,Critical,Partial (in historical FS),DISPATCHLOAD already in feature store; validate,9.3,INCLUDE_IMMEDIATELY,Core data already in feature store; validate
AEMO_DEMAND_FORECAST,AEMO Demand Forecast (40h),Demand,Forecast availability and error analysis,Medium,forecast error demand anomalies,interconnector forecasting,NEMWEB AEMO,https://www.nemweb.com.au/,2010-present,Continuous,Per region,5-minute forecast,Yes,CONDITIONAL,forecast_datetime region,Public,200,3,2,Medium,High,None,Large volume; requires forward-looking joins,7.2,INCLUDE_AFTER,Forecast error reveals demand-side surprises; defer until Priority 1 complete
AEMO_INTERCONNECTOR_RESULTS,Interconnector Flow Results,Demand,Observed interconnector flows,Critical,interconnector power flows,transmission flows SRA payout,NEMWEB AEMO,https://www.nemweb.com.au/,2010-present,Continuous,Per interconnector,5-minute,Yes,SAFE,interval_timestamp interconnector_id,Public,15,1,1,High,Critical,Partial (in historical FS),Interconnector flows already in feature store,9.3,INCLUDE_IMMEDIATELY,Core validation data; already ingested
BOM_TEMPERATURE,Temperature (Max/Min/Mean),Weather,Temperature drives demand (AC load) and renewable output,High,demand patterns renewable output,SRA fair-value estimation,Bureau of Meteorology,http://www.bom.gov.au/climate/data/,1910-present,Daily,Per station (interpolate to regions),Daily,Yes,SAFE,observation_date station_id region,CC-BY 4.0,20,2,2,High,High,None,None,8.2,INCLUDE_NOW,Strong correlation with demand; low effort
BOM_WIND_SPEED,Wind Speed and Direction,Weather,Wind drives renewable generation (wind farms),High,renewable generation wind output,SRA fair-value estimation interconnector flows,Bureau of Meteorology,http://www.bom.gov.au/climate/data/,1970-present,3-hourly or daily,Per station (major only),3-hourly or daily,Yes,SAFE,observation_datetime station_id region,CC-BY 4.0,30,3,2,High,High,None,5-minute data not routinely available from BOM; use ECMWF reanalysis,7.5,INCLUDE_AFTER,Wind data less granular than needed; consider ECMWF
BOM_SOLAR_IRRADIANCE,Global Horizontal Irradiance (GHI),Weather,Solar irradiance drives rooftop PV generation,High,renewable generation PV output,SRA fair-value estimation,Bureau of Meteorology ECMWF,http://www.bom.gov.au/climate/data/,1990-present (BOM) 1979-present (ECMWF),Daily or 3-hourly,Per station or regional,Daily or 3-hourly,Yes,CONDITIONAL,observation_datetime station_id region,CC-BY 4.0 (BOM); restricted (ECMWF),50,4,2,High,High,None,ECMWF data requires API key (commercial); BOM data limited,7.2,INCLUDE_AFTER,High info gain but requires commercial data source
BOM_RAINFALL,Daily Rainfall,Weather,Rainfall proxies hydrology availability,Medium,hydrology demand patterns,SRA fair-value estimation,Bureau of Meteorology,http://www.bom.gov.au/climate/data/,1910-present,Daily,Per station,Daily,Yes,SAFE,observation_date station_id region,CC-BY 4.0,15,2,1,Medium,Medium,None,None,7.0,INCLUDE_AFTER,Useful for hydrology proxies; defer until Priority 1 complete
BOM_SEVERE_WEATHER,Severe Weather Alerts,Weather,Extreme weather (cyclone thunderstorm extreme wind) affects demand and generation,Medium,demand patterns renewable output reliability,SRA payout probability,Bureau of Meteorology,http://www.bom.gov.au/,2010-present,Event-based,Regional,Event-level,Yes,CONDITIONAL,event_datetime region,CC-BY 4.0,1,2,1,Medium,Medium,Sparse,Semi-structured (RSS feed); requires parsing,6.0,INCLUDE_AFTER,Low frequency but high-impact events
AEMO_RENEWABLE_CAPACITY,Renewable Capacity by Region,Generation Mix,Renewable capacity growth changes baseline congestion,Medium,structural change baseline,SRA fair-value estimation,AEMO Generation and Capacity Reports,https://www.aemo.com.au/planning/forecasting-and-planning,2000-present,Annual or event-based,Per region,Annual,Yes,SAFE,effective_date region,Public,2,2,1,Medium,Medium,Sparse,Requires manual curation of commissioning dates,6.5,INCLUDE_AFTER,Explains multi-year trends; low near-term priority
AEMO_COAL_RETIREMENT,Coal Power Station Retirements,Generation Mix,Coal retirement changes supply mix and congestion,Medium,structural change baseline,SRA fair-value estimation,AEMO reports ASX announcements,https://www.aemo.com.au/,2000-present,Event-based,Per station,Event-level,Yes,CONDITIONAL,announced_date effective_date,Public,1,3,1,Medium,Medium,Sparse,Announcement dates uncertain; effective dates flexible,5.5,INCLUDE_AFTER,Explains multi-year trends; labor-intensive; defer
AEMO_BATTERY_CAPACITY,Battery Capacity Additions,Generation Mix,Battery storage changes dispatch patterns,Medium,structural change dispatch,SRA fair-value estimation,AEMO reports ASX announcements,https://www.aemo.com.au/,2016-present,Event-based,Per BESS,Event-level,Yes,SAFE,commissioned_date duid,Public,1,2,1,Medium,Medium,Sparse,Recent technology; data improving,6.5,INCLUDE_AFTER,Growing importance; defer until Priority 1 complete
AEMO_UNIT_SCADA_BY_FUEL,Generation by Fuel Type (Aggregated),Generation Mix,Aggregated generation mix by fuel (coal gas hydro wind solar battery),Critical,renewable penetration supply mix,SRA fair-value estimation interconnector flows,Derived from UNIT_SCADA + PARTICIPANT_REGISTRATION,https://www.nemweb.com.au/,2010-present,Continuous,Per region,5-minute,Yes,SAFE,interval_timestamp region fuel_type,Public,50,2,1,High,Critical,Partial,Derivable from existing UNIT_SCADA ingestion,9.0,INCLUDE_IMMEDIATELY,Fundamental to supply/demand balance; aggregate existing data
AEMO_RENEWABLE_PENETRATION,Renewable Penetration (% of Total),Generation Mix,Renewable generation as % of total (wind + solar) / total,High,renewable penetration stability,SRA fair-value estimation grid stability,Derived from UNIT_SCADA by fuel,https://www.nemweb.com.au/,2010-present,Continuous,Per region,5-minute,Yes,SAFE,interval_timestamp region,Public,5,1,0.5,High,High,None,Fully derivable; zero acquisition effort,9.5,INCLUDE_NOW,Fundamental renewable-penetration metric; trivial to compute
AEMO_BATTERY_DISPATCH,Battery Charging/Discharging Mode,Generation Mix,Battery state (charging vs discharging) affects supply,Medium,dispatch patterns supply balance,SRA fair-value estimation,Inferred from UNIT_SCADA (negative output = charging),https://www.nemweb.com.au/,2015-present,Continuous,Per BESS DUID,5-minute,Yes,CONDITIONAL,interval_timestamp duid,Public,10,2,1,Medium,Medium,None,Requires intra-hour trajectory validation,6.5,INCLUDE_AFTER,Growing battery capacity; validation effort moderate
AER_TRANSMISSION_UPGRADES,Transmission Upgrades and Topology Changes,Network,Major transmission upgrades alter congestion patterns,Medium,baseline congestion changes,SRA fair-value estimation,AER Network Development Plans AEMO,https://www.aemo.com.au/planning/forecasting-and-planning,2000-present,Event-based,Per interconnector or line,Event-level,Yes,CONDITIONAL,commissioned_date,Public,1,4,2,Medium,Medium,Sparse,Requires manual identification of commissioning dates and impact,5.5,INCLUDE_AFTER,Labor-intensive curation; defer until Priority 1 complete
AEMO_CONSTRAINT_CHANGES,Constraint RHS/LHS Changes,Network,Constraint changes alter binding conditions,Medium,congestion changes baseline,SRA fair-value estimation,NEMWEB (inferred from DISPATCHCONSTRAINT RHS changes),https://www.nemweb.com.au/,2010-present,Continuous,Per constraint_id,5-minute,Yes,CONDITIONAL,interval_timestamp constraint_id,Public,100,4,2,Medium,High,None,Requires causal audit linking changes to outages,6.0,INCLUDE_AFTER,Useful but requires manual causal analysis; defer
AEMC_MARKET_RULE_CHANGES,NEM Market Rule Changes,Regime,Market rule changes affect bidding and dispatch,Low,structural change baseline,SRA fair-value estimation,Australian Energy Market Commission (AEMC) AER,https://www.aemc.gov.au/,2000-present,Event-based,NEM-wide,Event-level,Yes,SAFE,effective_date,Public,0.5,3,1,Low,Medium,Sparse,No machine-readable registry; requires manual research,4.5,MONITOR,Important but low near-term priority; defer until medium-term work
SNOWY_HYDRO_STORAGE,Snowy Hydro and Major Dam Storage Levels,Hydrology,Water storage levels directly influence bidding strategy,Medium,hydrology constraints bidding,SRA fair-value estimation,BOM Water Resources Snowy Hydro reports,http://www.bom.gov.au/water/,1970-present,Weekly,Per reservoir,Weekly,Yes,SAFE,observation_date reservoir_id,CC-BY 4.0,10,2,1,Medium,Medium,None,Different states use different reporting formats,6.8,INCLUDE_AFTER,Affects hydro bidding; defer until Priority 1 complete
COAL_PRICES,Thermal Coal Spot Prices (Newcastle),Fuel,Coal prices influence coal-fired unit bidding,Medium,fuel costs bidding,SRA fair-value estimation,IceWeatherLynch Newcastle Export ASX,https://www.asxenergyechange.com.au/,1990-present,Daily,NEM-wide average,Daily settlement,Yes,CONDITIONAL,observation_date,Restricted/Commercial,5,4,1,Medium,Medium,None,Historical spot data requires subscription,5.5,INCLUDE_AFTER,Affects coal-fired bidding; commercial data access required
GAS_PRICES,Natural Gas Spot Prices (Henry Hub Australian Gas),Fuel,Gas prices influence CCGT and peaking unit bidding,Medium,fuel costs bidding,SRA fair-value estimation,ASX Energy Exchange Henry Hub,https://www.asxenergyechange.com.au/,2000-present,Daily,NEM-wide average,Daily settlement,Yes,CONDITIONAL,observation_date,Restricted (futures only for Australian Gas; Henry Hub public),5,3,1,Medium,Medium,Partial,Limited transparency in physical gas spot market,5.5,INCLUDE_AFTER,Affects gas-fired bidding; commercial data access difficult
